"station.id","station.name","latitude","longitude","year"
302,"Avenue D & E 3 St",40.72082834,-73.97793172,2013
303,"Mercer St & Spring St",40.72362738,-73.99949601,2013
304,"Broadway & Battery Pl",40.70463334,-74.01361706,2013
305,"E 58 St & 3 Ave",40.76095756,-73.96724467,2013
306,"Cliff St & Fulton St",40.70823502,-74.00530063,2013
307,"Canal St & Rutgers St",40.71427487,-73.98990025,2013
308,"St James Pl & Oliver St",40.71307916,-73.99851193,2013
309,"Murray St & West St",40.7149787,-74.013012,2013
310,"State St & Smith St",40.68926942,-73.98912867,2013
311,"Norfolk St & Broome St",40.7172274,-73.98802084,2013
312,"Allen St & E Houston St",40.722055,-73.989111,2013
313,"Washington Ave & Park Ave",40.69610226,-73.96751037,2013
314,"Cadman Plaza West & Montague St",40.69383,-73.990539,2013
315,"South St & Gouverneur Ln",40.70355377,-74.00670227,2013
316,"Fulton St & William St",40.70955958,-74.00653609,2013
317,"E 6 St & Avenue B",40.72453734,-73.98185424,2013
319,"Fulton St & Broadway",40.711066,-74.009447,2013
320,"Leonard St & Church St",40.717571,-74.005549,2013
321,"Cadman Plaza E & Red Cross Pl",40.69991755,-73.98971773,2013
322,"Clinton St & Tillary St",40.696192,-73.991218,2013
323,"Lawrence St & Willoughby St",40.69236178,-73.98631746,2013
324,"DeKalb Ave & Hudson Ave",40.689888,-73.981013,2013
325,"E 19 St & 3 Ave",40.73624527,-73.98473765,2013
326,"E 11 St & 1 Ave",40.72953837,-73.98426726,2013
327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,2013
328,"Watts St & Greenwich St",40.72405549,-74.00965965,2013
329,"Greenwich St & N Moore St",40.72043411,-74.01020609,2013
330,"Reade St & Broadway",40.71450451,-74.00562789,2013
331,"Pike St & Monroe St",40.71173107,-73.99193043,2013
332,"Cherry St",40.71219906,-73.97948148,2013
334,"W 20 St & 7 Ave",40.74238787,-73.99726235,2013
335,"Washington Pl & Broadway",40.72903917,-73.99404649,2013
336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,2013
337,"Old Slip & Front St",40.7037992,-74.00838676,2013
339,"Avenue D & E 12 St",40.72580614,-73.97422494,2013
340,"Madison St & Clinton St",40.71269042,-73.98776323,2013
341,"Stanton St & Mangin St",40.71782143,-73.97628939,2013
342,"Columbia St & Rivington St",40.71739973,-73.98016555,2013
343,"Clinton Ave & Flushing Ave",40.69794,-73.96986848,2013
344,"Monroe St & Bedford Ave",40.6851443,-73.95380904,2013
345,"W 13 St & 6 Ave",40.73649403,-73.99704374,2013
346,"Bank St & Hudson St",40.73652889,-74.00618026,2013
347,"Greenwich St & W Houston St",40.728846,-74.008591,2013
348,"W Broadway & Spring St",40.72490985,-74.00154702,2013
349,"Rivington St & Ridge St",40.71850211,-73.98329859,2013
350,"Clinton St & Grand St",40.71559509,-73.9870295,2013
351,"Front St & Maiden Ln",40.70530954,-74.00612572,2013
352,"W 56 St & 6 Ave",40.76340613,-73.97722479,2013
353,"S Portland Ave & Hanson Pl",40.68539567,-73.97431458,2013
354,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558,2013
355,"Bayard St & Baxter St",40.71602118,-73.99974372,2013
356,"Bialystoker Pl & Delancey St",40.71622644,-73.98261206,2013
357,"E 11 St & Broadway",40.73261787,-73.99158043,2013
358,"Christopher St & Greenwich St",40.73291553,-74.00711384,2013
359,"E 47 St & Park Ave",40.75510267,-73.97498696,2013
360,"William St & Pine St",40.70717936,-74.00887308,2013
361,"Allen St & Hester St",40.71605866,-73.99190759,2013
362,"Broadway & W 37 St",40.75172632,-73.98753523,2013
363,"West Thames St",40.70834698,-74.01713445,2013
364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,2013
365,"Fulton St & Grand Ave",40.68223166,-73.9614583,2013
366,"Clinton Ave & Myrtle Ave",40.693261,-73.968896,2013
367,"E 53 St & Lexington Ave",40.75828065,-73.97069431,2013
368,"Carmine St & 6 Ave",40.73038599,-74.00214988,2013
369,"Washington Pl & 6 Ave",40.73224119,-74.00026394,2013
372,"Franklin Ave & Myrtle Ave",40.694528,-73.958089,2013
