Date,Value
2016-02-29,7.5
2016-01-31,2.7397260273973
2015-12-31,4.9523809523809
2015-11-30,3.9261453092142
2015-10-31,3.7197477538733
2015-09-30,14.380952380952
2015-02-28,4.8899755501222
2015-01-31,3.8610038610038
2014-12-31,3.5502958579881
2014-11-30,3.8610038610038
2014-10-31,3.883495145631
2014-09-30,3.338898163606
2014-08-31,4.0080160320641
2014-07-31,5.0125313283208
2014-06-30,6.060606060606
2014-05-31,6.060606060606
2014-04-30,3.8610038610038
2014-03-31,3.1111111111111
2014-02-28,3.0538922155688
2014-01-31,4.0160642570281
2013-12-31,5.0
2013-11-30,5.0
2013-10-31,5.0
2013-09-30,3.5087719298245
2013-08-31,3.0395136778115
2013-07-31,3.5087719298245
2013-06-30,3.0395136778115
2013-05-31,4.054054054054
2013-04-30,4.2553191489361
2013-03-31,5.1383399209486
2013-02-28,5.2044609665427
2013-01-31,5.1546391752577
2012-12-31,4.18410041841
2012-11-30,5.0
2012-10-31,4.6224961479198
2012-09-30,5.0
2012-08-31,6.0120240480961
2012-07-31,5.0251256281407
2012-06-30,5.7788944723618
2012-05-31,6.8345323741007
2012-04-30,6.8345323741007
2012-03-31,6.6711140760507
2012-02-29,8.8888888888888
2012-01-31,6.9182389937106
2011-12-31,7.2115384615384
2011-11-30,7.2115384615384
2011-10-31,7.4349442379182
2011-09-30,7.7041602465331
2011-08-31,7.4418604651162
2011-07-31,7.4281481481481
2011-06-30,7.4765799256505
2011-05-31,7.4281481481481
2011-04-30,8.0771084337349
2011-03-31,7.7760699272208
2011-02-28,14.563300970874
2011-01-31,5.0933786078098
2010-12-31,5.0933786078098
2010-11-30,4.2826552462526
2010-10-31,5.0933786078098
2010-09-30,5.0125313283208
2010-08-31,4.2826552462526
2010-07-31,5.1470588235294
2010-06-30,6.2893081761006
2010-05-31,6.3789868667917
2010-04-30,5.6179775280898
