index,station.id,station.name,latitude,longitude,boroname
73,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,Outer Boro
74,314,Montague St & Clinton St,40.69424674,-73.99215922,Outer Boro
75,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,Outer Boro
76,261,Johnson St & Gold St,40.69474881,-73.98362464,Outer Boro
77,233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,Outer Boro
78,392,Jay St & Tech Pl,40.695065,-73.987167,Outer Boro
79,392,Jay St & Tech Pl,40.695065,-73.987167,Outer Boro
80,392,Jay St & Tech Pl,40.695065,-73.987167,Outer Boro
81,406,Hicks St & Montague St,40.69512845,-73.99595065,Outer Boro
82,406,Hicks St & Montague St,40.69512845,-73.99595065,Outer Boro
83,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,Outer Boro
84,313,Washington Ave & Park Ave,40.69610226,-73.96751037,Outer Boro
85,313,Washington Ave & Park Ave,40.69610226,-73.96751037,Outer Boro
86,313,Washington Ave & Park Ave,40.69610226,-73.96751037,Outer Boro
87,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Outer Boro
88,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Outer Boro
89,391,Clark St & Henry St,40.69760127,-73.99344559,Outer Boro
90,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,Outer Boro
91,144,Nassau St & Navy St,40.69839895,-73.98068914,Outer Boro
92,144,Nassau St & Navy St,40.69839895,-73.98068914,Outer Boro
93,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,Outer Boro
94,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,Outer Boro
95,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Outer Boro
96,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Outer Boro
97,259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro
98,259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro
99,259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro
100,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
101,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
102,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
103,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
104,418,Front St & Gold St,40.70224,-73.982578,Outer Boro
105,418,Front St & Gold St,40.70224,-73.982578,Outer Boro
106,2000,Front St & Washington St,40.70255,-73.9894,Outer Boro
107,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Outer Boro
108,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Outer Boro
109,315,South St & Gouverneur Ln,40.70355,-74.0067,Outer Boro
110,315,South St & Gouverneur Ln,40.70355377,-74.00670227,Outer Boro
111,337,Old Slip & Front St,40.7037992,-74.00838676,Outer Boro
