index,tripduration,starttime,stoptime,start.station.id,start.station.name,start.station.latitude,start.station.longitude,end.station.id,end.station.name,end.station.latitude,end.station.longitude,bikeid,usertype,birth.year,gender,date,count
30,687,3/31/2016 12:33,3/31/2016 12:44,72,W 52 St & 11 Ave,40.76727216,-73.99392888,489,10 Ave & W 28 St,40.75066386,-74.00176802,15866,Subscriber,1984,1,3/31/2016,1
31,400,3/31/2016 12:39,3/31/2016 12:45,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,18781,Subscriber,1978,1,3/31/2016,1
32,1396,3/31/2016 12:44,3/31/2016 13:08,72,W 52 St & 11 Ave,40.76727216,-73.99392888,435,W 21 St & 6 Ave,40.74173969,-73.99415556,19602,Subscriber,1964,2,3/31/2016,1
33,330,3/31/2016 13:14,3/31/2016 13:20,72,W 52 St & 11 Ave,40.76727216,-73.99392888,469,Broadway & W 53 St,40.76344058,-73.98268129,14657,Subscriber,1947,1,3/31/2016,1
34,1556,3/31/2016 13:15,3/31/2016 13:41,72,W 52 St & 11 Ave,40.76727216,-73.99392888,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,19995,Subscriber,1979,1,3/31/2016,1
35,379,3/31/2016 13:34,3/31/2016 13:41,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,15173,Subscriber,1978,1,3/31/2016,1
36,437,3/31/2016 13:59,3/31/2016 14:06,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,16263,Subscriber,1980,1,3/31/2016,1
37,2194,3/31/2016 14:26,3/31/2016 15:02,72,W 52 St & 11 Ave,40.76727216,-73.99392888,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,21439,Subscriber,1985,1,3/31/2016,1
38,1988,3/31/2016 14:33,3/31/2016 15:07,72,W 52 St & 11 Ave,40.76727216,-73.99392888,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,18459,Subscriber,1965,2,3/31/2016,1
39,738,3/31/2016 14:50,3/31/2016 15:02,72,W 52 St & 11 Ave,40.76727216,-73.99392888,490,8 Ave & W 33 St,40.751551,-73.993934,15496,Subscriber,1965,1,3/31/2016,1
40,1304,3/31/2016 15:13,3/31/2016 15:35,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17038,Subscriber,1990,2,3/31/2016,1
41,2030,3/31/2016 15:45,3/31/2016 16:19,72,W 52 St & 11 Ave,40.76727216,-73.99392888,350,Clinton St & Grand St,40.71559509,-73.9870295,17038,Subscriber,1978,1,3/31/2016,1
42,349,3/31/2016 15:57,3/31/2016 16:02,72,W 52 St & 11 Ave,40.76727216,-73.99392888,500,Broadway & W 51 St,40.76228826,-73.98336183,17769,Subscriber,1982,1,3/31/2016,1
43,550,3/31/2016 16:02,3/31/2016 16:11,72,W 52 St & 11 Ave,40.76727216,-73.99392888,529,W 42 St & 8 Ave,40.7575699,-73.99098507,17445,Subscriber,1976,1,3/31/2016,1
44,1673,3/31/2016 16:10,3/31/2016 16:37,72,W 52 St & 11 Ave,40.76727216,-73.99392888,223,W 13 St & 7 Ave,40.73781509,-73.99994661,17741,Customer,NA,0,3/31/2016,1
45,836,3/31/2016 16:10,3/31/2016 16:24,72,W 52 St & 11 Ave,40.76727216,-73.99392888,484,W 44 St & 5 Ave,40.75500254,-73.98014437,15329,Subscriber,1978,1,3/31/2016,1
46,573,3/31/2016 16:14,3/31/2016 16:23,72,W 52 St & 11 Ave,40.76727216,-73.99392888,465,Broadway & W 41 St,40.75513557,-73.98658032,17760,Subscriber,1973,1,3/31/2016,1
47,1375,3/31/2016 16:32,3/31/2016 16:55,72,W 52 St & 11 Ave,40.76727216,-73.99392888,79,Franklin St & W Broadway,40.71911552,-74.00666661,15178,Subscriber,1964,1,3/31/2016,1
48,377,3/31/2016 16:50,3/31/2016 16:57,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,17077,Subscriber,1972,2,3/31/2016,1
49,443,3/31/2016 16:51,3/31/2016 16:58,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,18899,Subscriber,1975,1,3/31/2016,1
50,1159,3/31/2016 16:57,3/31/2016 17:16,72,W 52 St & 11 Ave,40.76727216,-73.99392888,499,Broadway & W 60 St,40.76915505,-73.98191841,16530,Customer,NA,0,3/31/2016,1
51,1114,3/31/2016 16:58,3/31/2016 17:16,72,W 52 St & 11 Ave,40.76727216,-73.99392888,499,Broadway & W 60 St,40.76915505,-73.98191841,19688,Customer,NA,0,3/31/2016,1
52,613,3/31/2016 16:59,3/31/2016 17:09,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,14901,Subscriber,1971,1,3/31/2016,1
53,1091,3/31/2016 17:08,3/31/2016 17:27,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,16857,Subscriber,1980,1,3/31/2016,1
54,1045,3/31/2016 17:14,3/31/2016 17:31,72,W 52 St & 11 Ave,40.76727216,-73.99392888,519,Pershing Square North,40.751873,-73.977706,19420,Subscriber,1972,2,3/31/2016,1
55,1564,3/31/2016 17:14,3/31/2016 17:40,72,W 52 St & 11 Ave,40.76727216,-73.99392888,497,E 17 St & Broadway,40.73704984,-73.99009296,21177,Subscriber,1971,2,3/31/2016,1
56,631,3/31/2016 17:33,3/31/2016 17:43,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,15160,Subscriber,1959,1,3/31/2016,1
57,573,3/31/2016 17:46,3/31/2016 17:56,72,W 52 St & 11 Ave,40.76727216,-73.99392888,488,W 39 St & 9 Ave,40.75645824,-73.99372222,19198,Customer,NA,0,3/31/2016,1
58,569,3/31/2016 17:47,3/31/2016 17:56,72,W 52 St & 11 Ave,40.76727216,-73.99392888,488,W 39 St & 9 Ave,40.75645824,-73.99372222,21406,Customer,NA,0,3/31/2016,1
