Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,,symbol
DRYS,DryShips Inc.,2.13,$57.26M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys,,,,drys
DSKX,"DS Healthcare Group, Inc.",0.6699,$12.88M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/dskx,,,,dskx
DSPG,"DSP Group, Inc.",10.24,$222.4M,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg,,,,dspg
CADT,DT Asia Investments Limited,10.182,$90.9M,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cadt,,,,cadt
CADTR,DT Asia Investments Limited,0.2299,n/a,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cadtr,,,,cadtr
CADTU,DT Asia Investments Limited,10.53,n/a,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cadtu,,,,cadtu
CADTW,DT Asia Investments Limited,0.069,n/a,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cadtw,,,,cadtw
DTSI,"DTS, Inc.",27.17,$475.17M,2003,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dtsi,,,,dtsi
DLTH,Duluth Holdings Inc.,26.07,$842.48M,2015,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dlth,,,,dlth
DNKN,"Dunkin&#39; Brands Group, Inc.",44.09,$4.04B,2011,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn,,,,dnkn
DRRX,Durect Corporation,1.39,$190.93M,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx,,,,drrx
DXPE,"DXP Enterprises, Inc.",13.54,$195.38M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe,,,,dxpe
BOOM,Dynamic Materials Corporation,10.58,$152.2M,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/boom,,,,boom
DYSL,Dynasil Corporation of America,1.48,$24.86M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl,,,,dysl
DYNT,Dynatronics Corporation,2.7672,$7.67M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt,,,,dynt
DVAX,Dynavax Technologies Corporation,16.24,$625.17M,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax,,,,dvax
ETFC,E*TRADE Financial Corporation,26.69,$7.44B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc,,,,etfc
EBMT,"Eagle Bancorp Montana, Inc.",12.633,$47.75M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ebmt,,,,ebmt
EGBN,"Eagle Bancorp, Inc.",50.21,$1.69B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn,,,,egbn
EGLE,Eagle Bulk Shipping Inc.,0.5644,$25.8M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle,,,,egle
EGRX,"Eagle Pharmaceuticals, Inc.",43.78,$684.56M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx,,,,egrx
ELNK,EarthLink Holdings Corp.,6.51,$684.21M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/elnk,,,,elnk
EWBC,"East West Bancorp, Inc.",37.69,$5.43B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc,,,,ewbc
EACQ,Easterly Acquisition Corp.,9.69,$242.25M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eacq,,,,eacq
EACQU,Easterly Acquisition Corp.,9.9992,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eacqu,,,,eacqu
EACQW,Easterly Acquisition Corp.,0.35,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eacqw,,,,eacqw
EML,Eastern Company (The),16.31,$101.94M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml,,,,eml
EVBS,"Eastern Virginia Bankshares, Inc.",7.24,$94.84M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbs,,,,evbs
EVGBC,Eaton Vance NextShares Trust,100.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evgbc,,,,evgbc
EVSTC,Eaton Vance NextShares Trust,100.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evstc,,,,evstc
EVLMC,Eaton Vance NextShares Trust II,100.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evlmc,,,,evlmc
EBAY,eBay Inc.,23.98,$27.55B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay,,,,ebay
EBAYL,eBay Inc.,26.25,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebayl,,,,ebayl
EBIX,"Ebix, Inc.",46.15,$1.51B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix,,,,ebix
ELON,Echelon Corporation,4.8589,$21.47M,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon,,,,elon
ECHO,"Echo Global Logistics, Inc.",22.87,$689.24M,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo,,,,echo
ECTE,"Echo Therapeutics, Inc.",1.817,$20.72M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ecte,,,,ecte
SATS,EchoStar Corporation,40.78,$3.82B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats,,,,sats
EEI,"Ecology and Environment, Inc.",10.736,$46.07M,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei,,,,eei
ECAC,E-compass Acquisition Corp.,10.08,$53.52M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/ecac,,,,ecac
ECACR,E-compass Acquisition Corp.,0.26,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/ecacr,,,,ecacr
ECACU,E-compass Acquisition Corp.,10.3,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/ecacu,,,,ecacu
ESES,"Eco-Stim Energy Solutions, Inc.",2.86,$38.83M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses,,,,eses
EDAP,EDAP TMS S.A.,3.37,$85.54M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap,,,,edap
EDGE,"Edge Therapeutics, Inc.",9.36,$269.7M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge,,,,edge
EDGW,"Edgewater Technology, Inc.",8.6,$104.38M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw,,,,edgw
EDIT,"Editas Medicine, Inc.",33.71,$1.23B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit,,,,edit
EDUC,Educational Development Corporation,11.11,$45.21M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ,,,,educ
EFUT,eFuture Holding Inc.,5.45,$28.56M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/efut,,,,efut
EGAN,eGain Corporation,3.15,$85.34M,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan,,,,egan
EGLT,Egalet Corporation,5.53,$138.72M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt,,,,eglt
EHTH,"eHealth, Inc.",13.58,$247.27M,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth,,,,ehth
EIGR,"Eiger BioPharmaceuticals, Inc.",22.96,$159.47M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/eigr,,,,eigr
LOCO,"El Pollo Loco Holdings, Inc.",11.33,$433.99M,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco,,,,loco
EMITF,Elbit Imaging Ltd.,0.87,$23.99M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf,,,,emitf
ESLT,Elbit Systems Ltd.,93.05,$3.98B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt,,,,eslt
ERI,"Eldorado Resorts, Inc.",14.85,$699.07M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri,,,,eri
ELRC,Electro Rent Corporation,13.06,$315.99M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/elrc,,,,elrc
ESIO,"Electro Scientific Industries, Inc.",6.94,$216.02M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio,,,,esio
EA,Electronic Arts Inc.,76.36,$23.03B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea,,,,ea
EFII,"Electronics for Imaging, Inc.",43.68,$2.06B,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii,,,,efii
ELSE,"Electro-Sensors, Inc.",3.38,$11.48M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else,,,,else
ELEC,Electrum Special Acquisition Corporation,9.73,$243.25M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elec,,,,elec
ELECU,Electrum Special Acquisition Corporation,10.01,$250.25M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecu,,,,elecu
ELECW,Electrum Special Acquisition Corporation,0.23,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecw,,,,elecw
EBIO,"Eleven Biotherapeutics, Inc.",2.15,$42.75M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio,,,,ebio
RDEN,"Elizabeth Arden, Inc.",8.98,$268.94M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/rden,,,,rden
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio,23.8599,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/capx,,,,capx
ESBK,Elmira Savings Bank NY (The),19.25,$52.07M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk,,,,esbk
ELTK,Eltek Ltd.,0.9384,$9.52M,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk,,,,eltk
EMCI,EMC Insurance Group Inc.,27,$566.28M,1982,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci,,,,emci
EMCF,Emclaire Financial Corp,24.4351,$52.45M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf,,,,emcf
EMKR,EMCORE Corporation,5.62,$146.7M,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr,,,,emkr
EMMS,Emmis Communications Corporation,0.6401,$31.03M,1994,n/a,n/a,http://www.nasdaq.com/symbol/emms,,,,emms
NYNY,"Empire Resorts, Inc.",19.62,$608.82M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny,,,,nyny
ERS,"Empire Resources, Inc.",3.79,$32.18M,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/ers,,,,ers
ENTA,"Enanta Pharmaceuticals, Inc.",25.42,$481.89M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta,,,,enta
ECPG,Encore Capital Group Inc,26.28,$670.62M,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg,,,,ecpg
WIRE,Encore Wire Corporation,39.13,$809.75M,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire,,,,wire
ENDP,Endo International plc,17.59,$3.92B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp,,,,endp
ECYT,"Endocyte, Inc.",4.07,$171.56M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt,,,,ecyt
ELGX,"Endologix, Inc.",12.76,$1.04B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx,,,,elgx
EIGI,"Endurance International Group Holdings, Inc.",9.3,$1.31B,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi,,,,eigi
WATT,Energous Corporation,11.36,$188.06M,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt,,,,watt
EFOI,"Energy Focus, Inc.",6.06,$70.62M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi,,,,efoi
ERII,"Energy Recovery, Inc.",10.85,$567.82M,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii,,,,erii
ENOC,"EnerNOC, Inc.",6.97,$212.92M,2007,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/enoc,,,,enoc
ENG,ENGlobal Corporation,1.11,$30.9M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng,,,,eng
ENPH,"Enphase Energy, Inc.",2.01,$93.86M,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph,,,,enph
ESGR,Enstar Group Limited,154.34,$2.99B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr,,,,esgr
ENFC,Entegra Financial Corp.,17.42,$112.64M,2014,Finance,Banks,http://www.nasdaq.com/symbol/enfc,,,,enfc
ENTG,"Entegris, Inc.",14.4,$2.03B,2000,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg,,,,entg
ENTL,"Entellus Medical, Inc.",17.74,$333.84M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl,,,,entl
ETRM,EnteroMedics Inc.,0.51,$4.72M,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm,,,,etrm
EBTC,Enterprise Bancorp Inc,23.44,$245.53M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc,,,,ebtc
EFSC,Enterprise Financial Services Corporation,28.75,$575.62M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc,,,,efsc
EGT,Entertainment Gaming Asia Incorporated,1.95,$28.21M,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt,,,,egt
ENZY          ,Enzymotec Ltd.,8.05,$182.88M,2013,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy,,,,enzy          
EPIQ,"EPIQ Systems, Inc.",15.43,$585.12M,1997,Technology,EDP Services,http://www.nasdaq.com/symbol/epiq,,,,epiq
EPRS,"EPIRUS Biopharmaceuticals, Inc.",0.7005,$18.34M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eprs,,,,eprs
EPZM,"Epizyme, Inc.",12.16,$695.83M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm,,,,epzm
PLUS,ePlus inc.,88.25,$633.39M,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus,,,,plus
EQIX,"Equinix, Inc.",364.69,$25.32B,2000,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix,,,,eqix
EQFN,Equitable Financial Corp.,8.25,$28.69M,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn,,,,eqfn
EQBK,"Equity Bancshares, Inc.",23,$188.98M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk,,,,eqbk
EAC           ,Erickson Incorporated,0.55,$7.64M,2012,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/eac,,,,eac           
ERIC,Ericsson,7.72,$25.16B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric,,,,eric
ERIE,Erie Indemnity Company,98.89,$4.57B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie,,,,erie
ESCA,"Escalade, Incorporated",10.68,$152.26M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca,,,,esca
ESMC,Escalon Medical Corp.,0.7877,$5.93M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/esmc,,,,esmc
ESPR,"Esperion Therapeutics, Inc.",16.95,$382.07M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr,,,,espr
ESSA,"ESSA Bancorp, Inc.",13.52,$153.85M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa,,,,essa
EPIX,ESSA Pharma Inc.,3.122,$90M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix,,,,epix
ESND,Essendant Inc.,31.16,$1.16B,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd,,,,esnd
ESSF,"ETRE REIT, LLC",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/essf,,,,essf
ETSY,"Etsy, Inc.",9.21,$1.04B,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy,,,,etsy
CLWT,Euro Tech Holdings Company Limited,1.8435,$3.8M,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt,,,,clwt
EEFT,"Euronet Worldwide, Inc.",81.33,$4.23B,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft,,,,eeft
ESEA,Euroseas Ltd.,1.943,$15.92M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea,,,,esea
EVEP,"EV Energy Partners, L.P.",2.58,$126.56M,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep,,,,evep
EVK,"Ever-Glory International Group, Inc.",1.77,$26.17M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk,,,,evk
EVLV,EVINE Live Inc.,1.67,$95.51M,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv,,,,evlv
EVOK,"Evoke Pharma, Inc.",5.54,$40.11M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok,,,,evok
EVOL,"Evolving Systems, Inc.",5.1,$60.17M,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol,,,,evol
EXA,Exa Corporation,11.37,$167.36M,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa,,,,exa
EXAS,EXACT Sciences Corporation,6.89,$673.79M,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas,,,,exas
EXAC,"Exactech, Inc.",24.68,$347.9M,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac,,,,exac
EXEL,"Exelixis, Inc.",6.59,$1.51B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel,,,,exel
EXFO,EXFO Inc,4.05,$90.34M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo,,,,exfo
EXLS,"ExlService Holdings, Inc.",52.28,$1.75B,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls,,,,exls
EXPE,"Expedia, Inc.",109.99,$16.36B,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe,,,,expe
EXPD,"Expeditors International of Washington, Inc.",49.07,$8.93B,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd,,,,expd
EXPO,"Exponent, Inc.",54.73,$1.42B,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo,,,,expo
ESRX,Express Scripts Holding Company,75.61,$47.83B,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx,,,,esrx
EXTR,"Extreme Networks, Inc.",3.68,$385.68M,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr,,,,extr
EYEG,"Eyegate Pharmaceuticals, Inc.",3.42,$28.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyeg,,,,eyeg
EYEGW,"Eyegate Pharmaceuticals, Inc.",0.6998,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyegw,,,,eyegw
EZPW,"EZCORP, Inc.",6.77,$365.22M,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw,,,,ezpw
FFIV,"F5 Networks, Inc.",110.22,$7.38B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv,,,,ffiv
FB,"Facebook, Inc.",118.47,$338.86B,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb,,,,fb
FCS,"Fairchild Semiconductor International, Inc.",19.89,$2.28B,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fcs,,,,fcs
FRP,"FairPoint Communications, Inc.",13.21,$357.54M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp,,,,frp
FALC,"FalconStor Software, Inc.",1.38,$59.6M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/falc,,,,falc
DAVE,"Famous Dave&#39;s of America, Inc.",5.53,$38.48M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave,,,,dave
FARM,Farmer Brothers Company,29.05,$487.14M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm,,,,farm
FFKT,Farmers Capital Bank Corporation,26.98,$202.42M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt,,,,ffkt
FMNB,Farmers National Banc Corp.,9.21,$247.97M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb,,,,fmnb
FARO,"FARO Technologies, Inc.",37.06,$617.12M,1997,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro,,,,faro
FAST,Fastenal Company,46.2,$13.35B,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast,,,,fast
FATE,"Fate Therapeutics, Inc.",1.62,$46.76M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate,,,,fate
FBSS,"Fauquier Bankshares, Inc.",14.8,$55.59M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbss,,,,fbss
FBRC,FBR & Co,19.05,$139.26M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/fbrc,,,,fbrc
FDML,Federal-Mogul Holdings Corporation,8.08,$1.37B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/fdml,,,,fdml
FNHC,Federated National Holding Company,22.43,$310.13M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fnhc,,,,fnhc
FEIC,FEI Company,107.52,$4.39B,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/feic,,,,feic
FHCO,Female Health Company (The),1.38,$40.09M,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco,,,,fhco
FENX,"Fenix Parts, Inc.",3.89,$77.52M,2015,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/fenx,,,,fenx
GSM,Ferroglobe PLC,9.39,$1.61B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gsm,,,,gsm
FCSC,Fibrocell Science Inc,2.09,$91.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc,,,,fcsc
FGEN,"FibroGen, Inc",18.69,$1.17B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen,,,,fgen
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,194.52,$447.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oneq,,,,oneq
LION,Fidelity Southern Corporation,16.31,$415.44M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lion,,,,lion
FDUS,Fidus Investment Corporation,15.38,$250.88M,2011,n/a,n/a,http://www.nasdaq.com/symbol/fdus,,,,fdus
FRGI,"Fiesta Restaurant Group, Inc.",24.64,$663.02M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frgi,,,,frgi
FSAM,Fifth Street Asset Management Inc.,4.42,$215.25M,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam,,,,fsam
FSC,Fifth Street Finance Corp.,5.03,$730.88M,2008,n/a,n/a,http://www.nasdaq.com/symbol/fsc,,,,fsc
FSCFL,Fifth Street Finance Corp.,25.2012,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fscfl,,,,fscfl
FSFR,Fifth Street Senior Floating Rate Corp.,7.99,$235.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fsfr,,,,fsfr
FITB,Fifth Third Bancorp,18.82,$14.45B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb,,,,fitb
FITBI,Fifth Third Bancorp,31.02,$558.36M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitbi,,,,fitbi
FNGN,"Financial Engines, Inc.",26.72,$1.68B,2010,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn,,,,fngn
FISI,"Financial Institutions, Inc.",28.38,$411.45M,1999,Finance,Major Banks,http://www.nasdaq.com/symbol/fisi,,,,fisi
FNSR,Finisar Corporation,17.17,$1.85B,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr,,,,fnsr
FNJN,"Finjan Holdings, Inc.",1.48,$33.68M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/fnjn,,,,fnjn
FNTC,FinTech Acquisition Corp.,9.95,$136.65M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/fntc,,,,fntc
FNTCU,FinTech Acquisition Corp.,10.8,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/fntcu,,,,fntcu
FNTCW,FinTech Acquisition Corp.,0.75,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/fntcw,,,,fntcw
FEYE,"FireEye, Inc.",16.89,$2.81B,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye,,,,feye
FBNC,First Bancorp,19.42,$385.88M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/fbnc,,,,fbnc
FNLC,"First Bancorp, Inc (ME)",19.95,$214.99M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnlc,,,,fnlc
FRBA,First Bank,7.04,$55.52M,2013,n/a,n/a,http://www.nasdaq.com/symbol/frba,,,,frba
BUSE,First Busey Corporation,22.42,$855.24M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse,,,,buse
FBIZ,"First Business Financial Services, Inc.",24.05,$209.24M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbiz,,,,fbiz
FCAP,"First Capital, Inc.",31.3201,$104.57M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fcap,,,,fcap
FCFS,"First Cash Financial Services, Inc.",44.82,$1.27B,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs,,,,fcfs
FCNCA,"First Citizens BancShares, Inc.",255.99,$3.07B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca,,,,fcnca
FCLF,First Clover Leaf Financial Corp.,12.01,$84.14M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fclf,,,,fclf
FCBC,"First Community Bancshares, Inc.",21.72,$380.41M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcbc,,,,fcbc
FCCO,First Community Corporation,14.49,$96.98M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcco,,,,fcco
