,index,station.id,station.name,latitude,longitude,boroname,boro
67,68,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,Outer Boro,Brooklyn
68,69,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,Outer Boro,Brooklyn
69,70,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,Outer Boro,Brooklyn
70,71,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,Outer Boro,Brooklyn
71,72,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,Outer Boro,Brooklyn
72,73,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,Outer Boro,Brooklyn
73,74,314,Montague St & Clinton St,40.69424674,-73.99215922,Outer Boro,Brooklyn
74,75,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,Outer Boro,Brooklyn
75,76,261,Johnson St & Gold St,40.69474881,-73.98362464,Outer Boro,Brooklyn
76,77,233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,Outer Boro,Brooklyn
77,78,392,Jay St & Tech Pl,40.695065,-73.987167,Outer Boro,Brooklyn
78,79,392,Jay St & Tech Pl,40.695065,-73.987167,Outer Boro,Brooklyn
79,80,392,Jay St & Tech Pl,40.695065,-73.987167,Outer Boro,Brooklyn
80,81,406,Hicks St & Montague St,40.69512845,-73.99595065,Outer Boro,Brooklyn
81,82,406,Hicks St & Montague St,40.69512845,-73.99595065,Outer Boro,Brooklyn
82,83,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,Outer Boro,Brooklyn
83,84,313,Washington Ave & Park Ave,40.69610226,-73.96751037,Outer Boro,Kings County
84,85,313,Washington Ave & Park Ave,40.69610226,-73.96751037,Outer Boro,Kings County
85,86,313,Washington Ave & Park Ave,40.69610226,-73.96751037,Outer Boro,Kings County
86,87,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Outer Boro,Brooklyn
87,88,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Outer Boro,Brooklyn
88,89,391,Clark St & Henry St,40.69760127,-73.99344559,Outer Boro,Brooklyn
89,90,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,Outer Boro,Kings County
90,91,144,Nassau St & Navy St,40.69839895,-73.98068914,Outer Boro,Kings County
91,92,144,Nassau St & Navy St,40.69839895,-73.98068914,Outer Boro,Kings County
92,93,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,Outer Boro,Brooklyn
93,94,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,Outer Boro,Brooklyn
94,95,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Outer Boro,Kings County
95,96,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Outer Boro,Kings County
96,97,259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro,New York
97,98,259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro,New York
98,99,259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro,New York
99,100,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro,Kings County
100,101,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro,Kings County
101,102,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro,Kings County
102,103,430,York St & Jay St,40.7014851,-73.98656928,Outer Boro,Kings County
103,104,418,Front St & Gold St,40.70224,-73.982578,Outer Boro,Kings County
104,105,418,Front St & Gold St,40.70224,-73.982578,Outer Boro,Kings County
105,106,2000,Front St & Washington St,40.70255,-73.9894,Outer Boro,Brooklyn
106,107,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Outer Boro,Brooklyn
107,108,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Outer Boro,Brooklyn
108,109,315,South St & Gouverneur Ln,40.70355,-74.0067,Outer Boro,New York
109,110,315,South St & Gouverneur Ln,40.70355377,-74.00670227,Outer Boro,New York
110,111,337,Old Slip & Front St,40.7037992,-74.00838676,Outer Boro,New York
111,112,304,Broadway & Battery Pl,40.70463334,-74.01361706,Outer Boro,Manhattan
112,113,351,Front St & Maiden Ln,40.70530954,-74.00612572,Outer Boro,Manhattan
113,114,3073,Division Ave & Hooper St,40.70691254,-73.95441667,Outer Boro,Brooklyn
114,115,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Outer Boro,Manhattan
115,116,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Outer Boro,Manhattan
116,117,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,Outer Boro,Kings County
117,118,306,Cliff St & Fulton St,40.70823502,-74.00530063,Outer Boro,Manhattan
118,119,282,Kent Ave & S 11 St,40.70827295,-73.96834101,Outer Boro,Brooklyn
119,120,195,Liberty St & Broadway,40.70905623,-74.01043382,Manhattan,Manhattan
120,121,316,Fulton St & William St,40.70955958,-74.00653609,Outer Boro,Manhattan
121,122,389,Broadway & Berry St,40.71044554,-73.96525063,Outer Boro,Brooklyn
122,123,389,Broadway & Berry St,40.71044554,-73.96525063,Outer Boro,Brooklyn
123,124,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
124,125,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
125,126,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
126,127,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
127,128,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
128,129,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
129,130,532,S 5 Pl & S 4 St,40.710451,-73.960876,,Kings County
130,131,224,Spruce St & Nassau St,40.71146364,-74.00552427,,New York
131,132,224,Spruce St & Nassau St,40.71146364,-74.00552427,,New York
132,133,224,Spruce St & Nassau St,40.71146364,-74.00552427,,New York
133,134,3002,South End Ave & Liberty St,40.711512,-74.015756,,Manhattan
134,135,3081,Graham Ave & Grand St,40.711863,-73.944024,,Brooklyn
135,136,3081,Graham Ave & Grand St,40.711863,-73.944024,,Brooklyn
136,137,332,Cherry St,40.71219906,-73.97948148,Manhattan,Manhattan
137,138,332,Cherry St,40.71219906,-73.97948148,Manhattan,Manhattan
138,139,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,,Brooklyn
139,140,387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan,Manhattan
140,141,387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan,Manhattan
141,142,387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan,Manhattan
142,143,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,,Brooklyn
143,144,471,Grand St & Havemeyer St,40.71286844,-73.95698119,,Brooklyn
144,145,471,Grand St & Havemeyer St,40.71286844,-73.95698119,,Brooklyn
145,146,417,Barclay St & Church St,40.71291224,-74.01020234,Manhattan,Manhattan
146,147,308,St James Pl & Oliver St,40.71307916,-73.99851193,,Manhattan
147,148,308,St James Pl & Oliver St,40.71307916,-73.99851193,,Manhattan
148,149,319,Park Pl & Church St,40.71336124,-74.00937622,,Manhattan
149,150,319,Park Pl & Church St,40.71336124,-74.00937622,,Manhattan
150,151,295,Pike St & E Broadway,40.71406667,-73.99293911,,Manhattan
151,152,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,,Brooklyn
152,153,502,Henry St & Grand St,40.71422,-73.98135,,Manhattan
153,154,307,Canal St & Rutgers St,40.71427487,-73.98990025,Manhattan,Manhattan
154,155,309,Murray St & West St,40.7149787,-74.013012,,Manhattan
155,156,309,Murray St & West St,40.7149787,-74.013012,,Manhattan
156,157,309,Murray St & West St,40.7149787,-74.013012,,Manhattan
157,158,309,Murray St & West St,40.7149787,-74.013012,,Manhattan
158,159,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,,Manhattan
