,duration,distance
392,311.0,1212.0
393,431.0,1442.0
394,786.0,3162.0
395,354.0,1335.0
396,272.0,649.0
397,118.0,289.0
398,474.0,1814.0
399,540.0,2233.0
400,786.0,3162.0
401,314.0,917.0
402,1272.0,4773.0
403,311.0,1212.0
404,383.0,1572.0
405,562.0,2279.0
406,883.0,3613.0
407,198.0,430.0
408,709.0,2442.0
409,562.0,1975.0
410,204.0,602.0
411,168.0,273.0
412,311.0,1393.0
413,901.0,4552.0
414,276.0,1141.0
415,276.0,1141.0
416,646.0,2299.0
417,1994.0,9225.0
418,525.0,2744.0
419,715.0,3078.0
420,523.0,2266.0
421,310.0,1022.0
422,524.0,2064.0
423,905.0,3208.0
424,786.0,3162.0
425,206.0,952.0
426,362.0,1444.0
427,523.0,2266.0
428,469.0,1704.0
429,573.0,2142.0
430,443.0,1677.0
431,1659.0,6731.0
432,311.0,1212.0
433,417.0,1487.0
434,617.0,2235.0
435,919.0,3694.0
436,497.0,1953.0
437,403.0,1751.0
438,198.0,430.0
439,217.0,795.0
440,636.0,2549.0
441,420.0,1710.0
442,976.0,4777.0
443,792.0,3601.0
444,276.0,755.0
445,526.0,1998.0
446,198.0,430.0
447,276.0,755.0
448,311.0,1212.0
449,311.0,1212.0
450,204.0,906.0
451,617.0,2235.0
452,617.0,2235.0
453,908.0,3559.0
454,1082.0,3876.0
455,928.0,4044.0
456,315.0,1045.0
457,383.0,1680.0
458,368.0,1252.0
459,506.0,2120.0
460,264.0,810.0
461,908.0,3559.0
462,392.0,1339.0
463,311.0,1253.0
464,311.0,1253.0
465,577.0,1767.0
466,540.0,2319.0
467,214.0,866.0
468,1371.0,6251.0
469,354.0,1156.0
470,138.0,762.0
471,473.0,2193.0
472,1625.0,6855.0
473,948.0,4056.0
474,174.0,732.0
475,901.0,4116.0
476,838.0,3600.0
477,845.0,3735.0
478,1813.0,7732.0
479,407.0,1612.0
480,403.0,1732.0
481,146.0,632.0
482,510.0,2255.0
483,383.0,1720.0
484,269.0,1306.0
485,473.0,2193.0
486,318.0,1615.0
487,214.0,866.0
488,439.0,2034.0
489,402.0,1914.0
490,372.0,1379.0
491,447.0,1795.0
492,485.0,2057.0
493,660.0,2708.0
494,402.0,2098.0
495,507.0,2217.0
496,530.0,2777.0
497,539.0,2180.0
498,507.0,2217.0
499,379.0,1579.0
