,station.id,station.name,latitude,longitude,year,index,boro
0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,2013,1,Manhattan
1,79,Franklin St & W Broadway,40.71911552,-74.00666661,2013,2,Manhattan
2,82,St James Pl & Pearl St,40.71117416,-74.00016545,2013,3,Manhattan
3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2013,4,Brooklyn
4,116,W 17 St & 8 Ave,40.74177603,-74.00149746,2013,5,Manhattan
5,119,Park Ave & St Edwards St,40.69608941,-73.97803415,2013,6,Brooklyn
6,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,2013,7,Brooklyn
7,127,Barrow St & Hudson St,40.73172428,-74.00674436,2013,8,Manhattan
8,128,MacDougal St & Prince St,40.72710258,-74.00297088,2013,9,Manhattan
9,137,E 56 St & Madison Ave,40.761628,-73.972924,2013,10,Manhattan
10,143,Clinton St & Joralemon St,40.69239502,-73.99337909,2013,11,Brooklyn
11,144,Nassau St & Navy St,40.69839895,-73.98068914,2013,12,Kings County
12,146,Hudson St & Reade St,40.71625008,-74.0091059,2013,13,Manhattan
13,147,Greenwich St & Warren St,40.71542197,-74.01121978,2013,14,New York
14,150,E 2 St & Avenue C,40.7208736,-73.98085795,2013,15,Manhattan
15,151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,2013,16,Manhattan
16,152,Warren St & Church St,40.71473993,-74.00910627,2013,17,Manhattan
17,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,2013,18,Manhattan
18,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,2013,19,Brooklyn
19,160,E 37 St & Lexington Ave,40.748238,-73.978311,2013,20,Manhattan
20,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2013,21,Manhattan
21,164,E 47 St & 2 Ave,40.75323098,-73.97032517,2013,22,Manhattan
22,167,E 39 St & 3 Ave,40.7489006,-73.97604882,2013,23,Manhattan
23,168,W 18 St & 6 Ave,40.73971301,-73.99456405,2013,24,Manhattan
24,173,Broadway & W 49 St,40.760683271,-73.9845272899,2013,25,Manhattan
25,174,E 25 St & 1 Ave,40.7381765,-73.97738662,2013,26,Manhattan
26,195,Liberty St & Broadway,40.70905623,-74.01043382,2013,27,Manhattan
27,212,W 16 St & The High Line,40.74334935,-74.00681753,2013,28,Manhattan
28,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,2013,29,Kings County
29,217,Old Fulton St,40.70277159,-73.99383605,2013,30,Brooklyn
30,223,W 13 St & 7 Ave,40.73781509,-73.99994661,2013,31,Manhattan
31,224,Spruce St & Nassau St,40.71146364,-74.00552427,2013,32,New York
32,225,W 14 St & The High Line,40.74195138,-74.00803013,2013,33,Manhattan
33,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,2013,34,Manhattan
34,229,Great Jones St,40.72743423,-73.99379025,2013,35,Manhattan
35,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2013,36,Brooklyn
36,233,Cadman Plaza W & Pierrepont St,40.6947570136,-73.9905273914,2013,37,Brooklyn
37,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2013,38,East Village
38,237,E 11 St & 2 Ave,40.73047309,-73.98672378,2013,39,Manhattan
39,238,Bank St & Washington St,40.7361967,-74.00859207,2013,40,Manhattan
40,239,Willoughby St & Fleet St,40.69196566,-73.9813018,2013,41,Brooklyn
41,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2013,42,Brooklyn
42,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,2013,43,Kings County
43,243,Fulton St & Rockwell Pl,40.688226,-73.979382,2013,44,Brooklyn
44,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,2013,45,Brooklyn
45,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,2013,46,Brooklyn
46,247,Perry St & Bleecker St,40.73535398,-74.00483091,2013,47,Manhattan
47,248,Laight St & Hudson St,40.72185379,-74.00771779,2013,48,Manhattan
48,249,Harrison St & Hudson St,40.71870987,-74.0090009,2013,49,Manhattan
49,250,Lafayette St & Jersey St,40.72456089,-73.99565293,2013,50,Manhattan
50,251,Mott St & Prince St,40.72317958,-73.99480012,2013,51,Manhattan
51,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,2013,52,Manhattan
52,253,W 13 St & 5 Ave,40.73543934,-73.99453948,2013,53,Manhattan
53,254,W 11 St & 6 Ave,40.73532427,-73.99800419,2013,54,Manhattan
54,257,Lispenard St & Broadway,40.71939226,-74.00247214,2013,55,Manhattan
55,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2013,56,Brooklyn
56,259,South St & Whitehall St,40.70122128,-74.01234218,2013,57,New York
57,260,Broad St & Bridge St,40.70365182,-74.01167797,2013,58,Manhattan
58,261,Johnson St & Gold St,40.69474881,-73.98362464,2013,59,Brooklyn
