,index,duration,distance
585,7861.0,63.0,367.0
586,7862.0,63.0,367.0
587,7863.0,629.0,2387.0
588,7864.0,603.0,2315.0
589,7865.0,389.0,1560.0
590,7866.0,132.0,427.0
591,7867.0,853.0,4612.0
592,7868.0,545.0,2591.0
593,7869.0,545.0,2591.0
594,7870.0,666.0,2425.0
595,7871.0,495.0,1967.0
596,7872.0,892.0,4087.0
597,7873.0,561.0,2141.0
598,7874.0,543.0,2761.0
599,7875.0,636.0,2536.0
600,7876.0,1256.0,6606.0
601,7877.0,558.0,2117.0
